id_cliente,nome,idade,genero,estado,renda_mensal,tipo_cliente,qtd_compras_ultimos_12m,ticket_medio,tempo_como_cliente,visitas_site_mes,reclamacoes_12m,satisfacao,churn,cluster,pca1,pca2,perfil_cliente
1,Srta. Marina Leão,58,Masculino,DF,5993.43,Ambos,0,283.41,8,7,1,2,1,3,-1.7926092104125102,0.07459249854752532,"Alto Valor, Baixo Engajamento"
2,Dr. André Borges,23,Masculino,DF,4531.69,Produto,27,271.9,38,6,0,3,0,2,0.8789375047244705,-0.6291653620093858,Novatos em Potencial
3,Srta. Alexia Cavalcante,30,Feminino,SP,5558.08,Ambos,41,421.26,46,7,1,3,0,2,1.898137833306069,0.3962741049458594,Novatos em Potencial
4,Bernardo Moraes,66,Feminino,BA,3838.24,Serviço,10,236.98,52,8,0,2,0,1,0.5990491778197126,-0.43036569767280414,Clientes em Risco
5,Luana Novaes,24,Feminino,CE,5483.92,Produto,3,70.41,6,19,0,3,1,0,-1.6835704399602616,-0.8234445377379199,Clientes Premium
6,Gabrielly Sá,52,Feminino,BA,6632.89,Produto,6,117.13,8,26,0,4,0,0,-1.4728039809174,-0.3990427566211204,Clientes Premium
7,Henry Gabriel Casa Grande,54,Masculino,RS,3183.95,Produto,11,130.52,13,24,0,3,1,0,-0.8581915628194839,-0.45241444896220634,Clientes Premium
8,Milena Araújo,24,Feminino,PR,3741.05,Serviço,8,371.73,25,5,0,3,0,3,-0.5802005390156905,-0.24659403039067135,"Alto Valor, Baixo Engajamento"
9,Sophia Montenegro,62,Masculino,PE,3911.23,Serviço,43,313.31,60,17,1,4,0,2,2.6624088930816248,-0.2063150942915226,Novatos em Potencial
10,Sra. Heloísa da Cruz,35,Masculino,SP,3798.72,Serviço,40,265.0,60,21,1,3,0,2,2.516297548032982,0.15984790949647654,Novatos em Potencial
11,Maria Isis Ribeiro,32,Feminino,BA,4973.01,Ambos,2,173.07,53,8,0,1,0,1,0.16329585280596665,-0.2596914942436238,Clientes em Risco
12,Luigi Mendes,31,Feminino,DF,4541.1,Produto,31,346.72,42,4,1,3,0,2,1.249928536646673,-0.3357145162381396,Novatos em Potencial
13,Pedro Lucas Peixoto,52,Feminino,DF,10556.63,Ambos,13,443.24,17,11,0,3,0,3,-0.937385137572995,1.35569454881511,"Alto Valor, Baixo Engajamento"
14,Diego Silva,49,Masculino,PE,6476.93,Produto,6,320.56,6,4,0,4,0,3,-1.5859273370268567,-0.6446959370322254,"Alto Valor, Baixo Engajamento"
15,Ana Clara Rodrigues,56,Feminino,SP,2981.83,Produto,3,110.0,5,16,0,3,0,0,-1.6109429744128791,-1.0861425213173461,Clientes Premium
16,Maria Sophia Peixoto,61,Feminino,PE,4078.72,Serviço,7,426.85,47,24,0,4,0,0,0.30668076797552274,0.8284564819947985,Clientes Premium
17,Apollo Casa Grande,28,Feminino,RJ,2738.9,Ambos,0,316.13,30,16,1,4,0,0,-0.7161864504030048,-0.4246201472682747,Clientes Premium
18,Lunna Machado,58,Masculino,DF,6164.25,Serviço,20,406.53,20,4,1,3,0,3,-0.27493974336955396,0.2043120117458015,"Alto Valor, Baixo Engajamento"
19,Kaique Mendonça,18,Masculino,PR,4585.67,Serviço,20,225.18,39,29,0,3,0,0,0.6177498025210405,0.5231246802837209,Clientes Premium
20,Luiza Dias,33,Masculino,DF,5662.53,Ambos,1,417.07,4,2,0,4,0,3,-1.880520324212766,-0.336545974731817,"Alto Valor, Baixo Engajamento"
21,Daniel Montenegro,67,Masculino,RS,4644.54,Serviço,2,250.75,9,8,0,4,0,3,-1.582344766024536,-1.0157637044967829,"Alto Valor, Baixo Engajamento"
22,Vitória Porto,52,Feminino,CE,6625.05,Serviço,46,462.75,49,12,1,5,0,2,2.2521433416434014,0.2544937249930274,Novatos em Potencial
23,Bianca Vasconcelos,51,Masculino,RS,5723.27,Produto,3,222.59,29,10,1,1,0,1,-0.7777946966218464,0.2683015909795441,Clientes em Risco
24,Luana Machado,18,Masculino,RJ,4928.35,Serviço,5,487.76,5,2,0,5,0,3,-1.5882242711977024,-0.4325604032610155,"Alto Valor, Baixo Engajamento"
25,Sophia Macedo,50,Masculino,CE,4202.72,Serviço,8,292.7,16,17,0,2,0,0,-0.9422011854778445,0.5316984426754608,Clientes Premium
26,Camila da Mata,33,Masculino,PE,5174.09,Ambos,30,264.12,51,3,0,1,0,1,1.5143879642401077,0.01611484720938039,Clientes em Risco
27,Brenda Ferreira,44,Masculino,RJ,6807.06,Ambos,27,302.28,30,1,0,3,0,3,0.4383673752729347,-0.4849510321229869,"Alto Valor, Baixo Engajamento"
28,Manuella Ferreira,33,Masculino,RJ,7955.79,Serviço,3,237.81,13,13,0,2,0,3,-1.5154890985360123,0.4239097287414124,"Alto Valor, Baixo Engajamento"
29,Ravi Lucca Viana,46,Masculino,MG,4575.68,Produto,35,248.78,52,2,0,5,0,2,1.8453531622362327,-1.8187121990024084,Novatos em Potencial
30,Maria Vitória Mendes,44,Feminino,PE,6830.8,Produto,30,339.45,32,28,1,1,1,1,0.7525093924297448,2.2049530956136714,Clientes em Risco
31,Emanuel Albuquerque,34,Feminino,DF,5194.16,Ambos,50,416.24,60,13,2,4,0,2,2.964644633818182,0.28355181884738756,Novatos em Potencial
32,Augusto Montenegro,60,Feminino,DF,4486.74,Produto,31,255.86,46,6,0,5,0,2,1.4133958239547577,-1.541040867482289,Novatos em Potencial
33,Ana Laura Jesus,21,Feminino,SP,5592.24,Produto,20,331.33,48,16,0,5,0,2,0.9139189616001034,-0.39746340834123306,Novatos em Potencial
34,José Miguel Monteiro,50,Masculino,RS,1200.0,Produto,6,341.46,6,21,0,5,0,0,-1.2840799578519382,-0.5154578563892832,Clientes Premium
35,Evelyn da Paz,55,Feminino,PR,4314.57,Serviço,2,203.73,39,21,1,4,0,0,-0.3222582862438432,-0.5617447474015175,Clientes Premium
36,Antonella da Mota,31,Feminino,BA,8772.37,Produto,20,320.95,43,4,0,4,0,3,0.5241411872834904,-0.4019618324154319,"Alto Valor, Baixo Engajamento"
37,Letícia da Mata,66,Masculino,MG,4962.9,Produto,4,99.18,60,2,0,4,0,2,0.5299563801091808,-2.266623490191469,Novatos em Potencial
38,Juan Aparecida,40,Feminino,PR,5120.46,Ambos,4,595.59,57,9,0,2,0,1,0.4792474626564069,1.7527466559454934,Clientes em Risco
39,Lavínia Costela,57,Feminino,MG,5955.51,Serviço,41,268.92,52,29,0,4,0,2,2.1703334987761607,0.5413687192622089,Novatos em Potencial
40,Thales Campos,34,Masculino,BA,4930.58,Ambos,1,159.76,8,8,1,3,0,3,-1.7014357521260108,-1.080119517940162,"Alto Valor, Baixo Engajamento"
41,Luigi Moura,31,Feminino,RJ,7285.65,Ambos,40,390.23,44,8,0,5,0,2,1.688800644413422,-0.318709116286864,Novatos em Potencial
42,Eloah Rezende,58,Masculino,PR,3396.34,Produto,26,466.08,28,10,1,4,0,2,0.5147748515022208,0.16664397742921191,Novatos em Potencial
43,Benjamin Pereira,28,Feminino,MG,3238.72,Serviço,28,309.23,48,17,1,1,1,1,1.4274262936533595,0.9003438681971834,Clientes em Risco
44,Sr. Breno da Mota,52,Masculino,SP,8413.21,Serviço,2,404.83,3,13,0,2,1,3,-1.9716737034649199,1.4184837496481115,"Alto Valor, Baixo Engajamento"
45,Aurora Montenegro,40,Masculino,PE,1898.67,Produto,10,308.23,14,11,1,4,0,0,-0.8231676808352998,-0.8327392891049933,Clientes Premium
46,Vicente Cirino,57,Masculino,MG,3161.15,Ambos,9,485.99,48,27,1,2,0,1,0.5046708984462519,2.046272930604043,Clientes em Risco
47,Ana Laura Peixoto,44,Feminino,RS,3433.49,Ambos,0,261.35,2,25,2,5,0,0,-1.8578558640637475,-0.45088422241273446,Clientes Premium
48,Calebe da Luz,35,Masculino,CE,7087.72,Produto,11,363.17,11,27,0,3,0,0,-1.0835872149983985,1.4913476080488781,Clientes Premium
49,João Vitor da Conceição,40,Masculino,PR,1785.03,Produto,7,322.16,20,12,0,3,0,0,-0.7278970035067303,-0.31655532593589025,Clientes Premium
50,Lorenzo Castro,40,Feminino,PR,2119.92,Produto,32,442.89,42,30,0,1,0,1,1.4987569071782514,2.3271977409226587,Clientes em Risco
51,Davi Pacheco,29,Feminino,DF,6043.88,Produto,16,335.64,38,11,2,4,0,2,0.26577828672791287,-0.21355567209802254,Novatos em Potencial
